168,3,2021-07-11,NULL
453,53,2021-11-30,2022-04-14
2,29,2021-07-08,2022-07-31
174,36,2021-01-20,2023-06-02
399,60,2021-12-27,2022-09-03
374,13,2021-03-24,2023-05-25
220,6,2021-01-08,2023-08-29
420,83,2021-09-05,2022-12-18
178,3,2021-11-30,NULL
298,8,2021-09-13,2023-08-06
59,43,2021-10-14,NULL
89,29,2021-12-27,2023-01-22
402,60,2021-04-18,2022-08-08
1,93,2021-04-07,2022-12-25
476,33,2021-10-17,2023-03-11
270,87,2021-12-07,2023-06-04
449,8,2021-02-17,2023-09-07
13,8,2021-09-24,2022-05-21
322,22,2021-03-17,2023-02-06
330,48,2021-01-14,NULL
330,100,2021-04-23,2022-07-19
145,90,2021-09-28,2022-06-30
382,90,2021-06-08,NULL
452,15,2021-11-24,2023-03-25
164,72,2021-04-21,2022-08-10
286,13,2021-07-17,2022-05-31
163,9,2021-02-19,2022-05-19
459,74,2021-01-21,2023-02-18
45,98,2021-07-22,2023-07-26
233,28,2021-11-03,2022-05-21
148,58,2021-03-14,NULL
99,12,2021-04-24,2022-01-27
54,93,2021-03-12,2022-03-02
239,41,2021-06-21,2023-09-19
78,15,2021-05-19,NULL
310,63,2021-03-13,2022-12-18
219,64,2021-12-04,2023-07-01
323,98,2021-04-06,2023-02-14
77,47,2021-10-12,2022-08-31
417,9,2021-05-31,2023-01-07
318,93,2021-01-19,2022-07-17
479,34,2021-08-02,2023-01-22
402,22,2021-02-18,2022-03-09
133,73,2021-01-22,NULL
444,90,2021-05-01,2022-04-13
340,20,2021-09-14,2022-11-15
283,20,2021-09-06,2023-06-27
250,3,2021-09-28,2023-08-17
73,56,2021-02-17,NULL
371,97,2021-11-23,2023-09-10
265,34,2021-09-17,2022-08-11
203,4,2021-01-28,NULL
314,57,2021-03-12,2023-08-15
89,46,2021-05-17,2023-07-31
222,25,2021-07-31,2022-12-08
147,36,2021-06-01,2022-12-01
431,12,2021-07-18,2022-07-04
367,55,2021-01-14,NULL
248,72,2021-09-18,NULL
392,33,2021-07-11,NULL
136,62,2021-10-26,NULL
388,73,2021-04-11,2022-09-11
351,88,2021-10-06,2022-05-01
187,62,2021-01-04,2023-01-01
222,53,2021-02-23,2022-11-24
21,14,2021-03-01,2022-02-22
201,95,2021-09-13,2022-11-19
448,72,2021-10-26,2022-09-19
412,79,2021-08-19,2023-01-23
471,84,2021-11-09,2022-11-25
86,12,2021-03-11,2023-04-09
393,3,2021-11-28,NULL
291,24,2021-07-07,NULL
78,72,2021-09-15,2022-07-02
396,30,2021-01-20,2023-10-02
145,25,2021-12-19,2023-03-11
69,57,2021-11-03,2022-10-31
358,57,2021-12-23,2023-07-01
443,24,2021-12-19,2022-09-11
133,85,2021-05-27,NULL
194,30,2021-01-15,NULL
130,75,2021-05-19,NULL
87,31,2021-01-22,2023-06-18
173,32,2021-05-05,2023-04-05
57,66,2021-01-09,2023-06-12
371,49,2021-02-27,2022-08-04
264,55,2021-03-23,2022-10-26
251,7,2021-12-02,2023-02-16
184,41,2021-02-26,2022-03-28
69,99,2021-07-23,2023-01-06
443,21,2021-04-02,2023-05-22
39,98,2021-04-02,2023-10-14
20,96,2021-07-19,2022-11-25
374,14,2021-12-15,2023-10-09
248,17,2021-06-17,2023-02-16
355,13,2021-11-04,2023-09-14
334,48,2021-04-26,2022-04-28
265,11,2021-11-13,2023-04-13
426,54,2021-02-21,NULL
316,95,2021-09-26,2022-06-07
366,46,2021-12-08,2022-04-12
334,51,2021-01-23,2023-05-22
358,41,2021-02-01,2022-06-12
67,32,2021-05-21,2023-05-17
114,4,2021-09-02,2022-01-25
128,68,2021-10-28,NULL
81,13,2021-05-24,2022-08-11
57,29,2021-04-12,2022-05-13
179,2,2021-09-18,2022-03-01
364,64,2021-12-26,NULL
56,13,2021-09-10,2023-02-25
361,59,2021-06-06,2023-06-11
284,10,2021-06-08,NULL
101,5,2021-12-14,NULL
275,49,2021-08-26,NULL
470,35,2021-03-20,2022-04-19
91,14,2021-01-07,2023-02-21
376,56,2021-06-08,2023-05-12
367,38,2021-12-18,NULL
7,59,2021-01-01,2022-02-20
153,40,2021-01-25,NULL
155,52,2021-09-06,2022-12-31
219,3,2021-12-31,2022-04-22
283,5,2021-03-05,2022-01-15
215,40,2021-05-07,2023-05-19
34,15,2021-04-18,2022-05-07
266,40,2021-07-17,2022-03-13
180,32,2021-03-27,2023-03-24
28,88,2021-04-19,2022-03-15
469,64,2021-05-24,2022-07-21
2,84,2021-06-26,2022-08-02
232,42,2021-03-13,NULL
465,55,2021-09-29,2022-12-26
499,31,2021-03-08,2023-06-16
106,35,2021-08-09,2022-10-14
29,99,2021-01-30,2022-03-21
395,67,2021-07-12,2022-06-14
350,17,2021-09-11,2022-02-10
96,4,2021-01-30,2022-09-30
337,79,2021-03-11,2023-05-28
490,66,2021-04-09,NULL
218,39,2021-06-27,NULL
241,31,2021-11-25,NULL
